,药品名称,指导价,成分,性状,适应症,用法用量,禁忌,注意事项,特殊人群用药,通用名称,用法,剂型,成分明细,功效或适应症,特殊人群,商品名称
1089,"通用名称：玉叶解毒颗粒
                                
商品名称：三金                                
英文名称：YuYeJieDuKeLi(SanJin)                                
汉语拼音：Yuye Jiedu Keli",16.5,玉叶金花山芝麻金银花岗梅野菊花等。,本品为棕黄色至棕色的颗粒；味甜，微苦、涩.,清热解毒，辛凉解表，生津利咽，清暑利湿.用于外感风热引起的感冒咳嗽，咽喉炎，口干，咽喉肿痛，小便短赤，预防中暑.,开水冲服。一次1袋，一日三次.,尚不明确。,"1忌烟、酒及辛辣、生冷、油腻食物。
2不宜在服药期间同时服用滋补性中成药。
3适用于风热感冒或兼挟暑湿者。
4高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者，均应在医师指导下服用。
5服药三天后症状无改善，或症状加重，或出现新的严重症状如胸闷、心悸等应立即停药，并去医院就诊。
6小儿、年老体弱者、孕妇应在医师指导下服用。
7对本品过敏者禁用，过敏体质者慎用。
8本品性状发生改变时禁止使用。
9儿童必须在成人监护下使用。
10请将本品放在儿童不能接触的地方。
11如正在使用其他药品，使用本品前请咨询医师或",,玉叶解毒颗粒,['冲服'],['颗粒剂'],"{""玉叶金花"",""山芝麻"",""金银花"",""岗梅"",""野菊花""}","{""清热解毒"",""辛凉解表"",""生津利咽"",""清暑利湿"",""外感风热"",""感冒咳嗽"",""咽喉炎"",""口干"",""咽喉肿痛"",""小便短赤"",""预防中暑""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者""],""慎用人群"":[""小儿"",""年老体弱者"",""孕妇"",""过敏体质者""]}",三金
1090,"通用名称：肺宁口服液
                                
商品名称：修正                                
英文名称：FeiNingKouFuYe(XiuZheng)                                
汉语拼音：Feining Koufuye",45,返魂草。辅料为：蜂蜜、山梨酸钾。,棕色澄明液体;气微香，味甘、微苦。,清热祛痰，止咳平喘。用于慢性支气管炎急性发作期痰热咳喘证。证见咳嗽、喘息、咳痰不爽、痰黄粘稠，口渴喜饮等。,口服。每次1支，每日3次，饭后服。9天为一个疗程。,尚不明确。,1.忌烟、酒及辛辣、香燥、生冷、油腻食物。2.不宜在服药期间同时服用滋补性中药。3.糖尿病患者及有高血压、心脏病、肝病、肾病等慢性病严重者应在医师指导下服用。4.有支气管扩张、肺脓疡、肺心病、肺结核患者出现咳嗽时应去医院就诊。5.儿童、年老体弱者、孕妇、哺乳期妇女应在医师指导下服用。6.服药3天症状无缓解，应去医院就诊。7.对本品过敏者禁用，过敏体质者慎用。8.本品性状发生改变时禁止使用。9.儿童必须在成人监护下使用。10.请将本品放在儿童不能接触的地方。11.如正在使用其他药品，使用本品前请咨询医师或药,,肺宁口服液,['口服'],"['液体剂型', '气雾剂']","{""返魂草"",""蜂蜜"",""山梨酸钾""}","{""清热祛痰"",""止咳平喘"",""慢性支气管炎急性发作期痰热咳喘证"",""咳嗽"",""喘息"",""咳痰不爽"",""痰黄粘稠"",""口渴喜饮""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""糖尿病患者"",""高血压患者"",""心脏病患者"",""肝病患者"",""肾病患者"",""支气管扩张患者"",""肺脓疡患者"",""肺心病患者"",""肺结核患者"",""儿童"",""年老体弱者"",""孕妇"",""哺乳期妇女"",""过敏体质者""]}",修正
1091,"通用名称：氢溴酸右美沙芬咀嚼片
                                
商品名称：可迪                                
英文名称：Dextromethorphan Hydrobromide Chewable Tablets                                
汉语拼音：Qingxiusuan Youmeishafen Jujuepian",40.2,"主要成分：本品主要成份为：氢溴酸右美沙芬。其化学名称为：右旋-3-甲氧基-17-甲基-(9?,13?,14?)吗啡喃氢溴酸-水化合物。",本品为淡黄色片。,用于干咳，包括上呼吸道感染（如感冒和咽炎）、支气管炎等引起的咳嗽。,咀嚼服用。7～12岁儿童，一次0.5片；12岁以上儿童及成人，一次1～2片，一日3～4次。,"1? 妊娠3个月内妇女、有精神病史者及哺乳期妇女禁用。
2? 服用单胺氧化酶抑制剂停药不满两周的患者禁用。","1.用药7天，症状未缓解，请咨询医师或药师；
2.哮喘患者、痰多的患者、肝肾功能不全患者慎用；
3.孕妇慎用；
4.对本品过敏者禁用，过敏体质者慎用；
5.本品性状发生改变时禁止使用；
6.请将本品放在儿童不能接触的地方；
7.儿童必须在成人监护下使用；
8.如正在使用其他药品，使用本品前请咨询医师或药师。","儿童注意事项：
                                    
尚不明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
　　妊娠三个月内的妇女及哺乳期妇女禁用。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",氢溴酸右美沙芬咀嚼片,['嚼服'],['片剂'],{"氢溴酸右美沙芬"},"{""干咳"",""上呼吸道感染"",""感冒"",""咽炎"",""支气管炎""}","{""忌用人群"":[],""禁用人群"":[""妊娠3个月内妇女"",""有精神病史者"",""哺乳期妇女"",""服用单胺氧化酶抑制剂停药不满两周的患者"",""对本品过敏者""],""慎用人群"":[""哮喘患者"",""痰多的患者"",""肝肾功能不全患者"",""孕妇"",""过敏体质者""]}",可迪
1092,"通用名称：枸橼酸喷托维林片
                                
英文名称：Pentoxyverine　Citrate　Tablets                                
汉语拼音：Gou Yuan Suan Pen Tuo Wei Lin Pian",8,本品主要成份为：枸橼酸喷托维林。,本品为糖衣片，除去糖衣后显白色。,用于各种原因引起的干咳。,口服。成人：一次1片，一日3-4次。 儿童：5岁以上儿童一次0.5片，一日2-3次,尚不明确,"1.本药仅为对症治疗药，如应用7日症状无明显好转，应立即就医。
2.服药期间不得驾驶机、车、船、从事高空作业、机械作业及操作精密仪器。
3.孕妇及哺乳期妇女应在医师指导下使用。
4.青光眼及心力衰竭患者慎用。
5.本品无祛痰作用，痰多患者请在医师指导下使用。
6.对本品过敏者禁用，过敏体质者慎用。
7.本品性状发生改变时禁止使用。
8.请将本品放在儿童不能接触的地方。
9.儿童必须在成人监护下使用。
10.如正在使用其他药品，使用本品前请咨询医师或药师。","儿童注意事项：
                                    
尚不明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
尚不明确。
                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",枸橼酸喷托维林片,['口服'],"['中药剂型', '片剂', '喷雾剂']",{"枸橼酸喷托维林"},{"干咳"},"{""忌用人群"":[],""禁用人群"":[""对本品过敏者""],""慎用人群"":[""孕妇"",""哺乳期妇女"",""青光眼患者"",""心力衰竭患者"",""过敏体质者"",""痰多患者""]}",
1093,"通用名称：勒马回片
                                
商品名称：朗致                                
英文名称：LeMaHuiPian(LangZhi)                                
汉语拼音：Lemahui Pian",41.9,水蔓菁。,本品为糖衣片，除去糖衣后显黑褐色；味苦。,清热润肺，止咳化痰，利尿通淋。用于肺痨咳血，咳嗽痰喘，小便不利，热淋涩痛。,口服。一次4～6片，一日3次，或遵医嘱。,尚不明确。,1忌烟、酒及辛辣、生冷、油腻食物。2不宜在服药期间同时服用滋补性中药。3有支气管扩张、肺脓疡、肺心病、肺结核患者出现咳嗽时应去医院就诊。4服药3天症状无缓解，应去医院就诊。5小儿、年老体弱者、孕妇应在医师指导下服用。6对本品过敏者禁用，过敏体质者慎用。7本品性状发生改变时禁止使用。8儿童必须在成人监护下使用。9请将本品放在儿童不能接触的地方。10如正在使用其他药品，使用本品前请咨询医师或药师。,,勒马回片,['口服'],"['中药剂型', '片剂']",{"水蔓菁"},"{""清热润肺"",""止咳化痰"",""利尿通淋"",""肺痨咳血"",""咳嗽痰喘"",""小便不利"",""热淋涩痛""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""过敏体质者"",""小儿"",""年老体弱者"",""孕妇""]}",朗致
1094,"通用名称：肝络欣丸
                                
英文名称：GanLuoXinWan                                
汉语拼音：Ganluoxin Wan",198,蚂蚁，黄芪，人参，枸杞子，黄精，丹参，白术，地黄，赤芍，当归，蒲公英，虎杖，秦艽，苍术，猪苓，陈皮等。,本品为黑褐色的水蜜丸;气微香，味甜。,用于慢性乙型肝炎气阴两虚，湿瘀阻络证，症见：胁肋隐痛，经久难愈，腹胀纳差，脘痞泛恶，倦怠乏力，腰膝酸软，口干，面色黯滞等。,口服。一次12克，一日3次，3个月为一疗程，或遵医嘱。,孕妇忌服。,请遵医嘱。,,肝络欣丸,['口服'],"['中药剂型', '液体剂型', '气雾剂']","{""蚂蚁"",""黄芪"",""人参"",""枸杞子"",""黄精"",""丹参"",""白术"",""地黄"",""赤芍"",""当归"",""蒲公英"",""虎杖"",""秦艽"",""苍术"",""猪苓"",""陈皮""}","{""慢性乙型肝炎气阴两虚，湿瘀阻络证"",""胁肋隐痛"",""腹胀纳差"",""脘痞泛恶"",""倦怠乏力"",""腰膝酸软"",""口干"",""面色黯滞""}","{""忌用人群"":[""孕妇""], ""禁用人群"":[], ""慎用人群"":[]}",
1095,"通用名称：参贝止咳颗粒
                                
商品名称：融江                                
英文名称：CanBeiZhiKeKeLi(RongJiang)                                
汉语拼音：QiXueShuangShengHeJi",20,北沙参、浙贝母、前胡、苦杏仁、法半夏、陈皮、百部、款冬花、重楼、连翘、荆芥、甘草等味,本品为颗粒。,傣医：解黄噢习特唉少，兵哇唉习特来，拔黄。?中医：清忡、化痰、止咳。用于急性支气管炎及慢性单纯型支气管炎急性发作之咳嗽。,口服，1至3岁一次2.5克；4至6岁一次3.3克；7至12岁一次5克；成人一次10克；一日3次；饭后服。,尚不明确。,请遵医嘱。,,参贝止咳颗粒,['口服'],['颗粒剂'],"{""北沙参"",""浙贝母"",""前胡"",""苦杏仁"",""法半夏"",""陈皮"",""百部"",""款冬花"",""重楼"",""连翘"",""荆芥"",""甘草""}","{""解黄噢习特唉少"",""兵哇唉习特来"",""拔黄"",""清忡"",""化痰"",""止咳"",""急性支气管炎"",""慢性单纯型支气管炎急性发作"",""咳嗽""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",融江
1096,"通用名称：妥洛特罗贴剂
                                
商品名称：阿米迪                                
英文名称：TulobuterolPatch                                
汉语拼音：AMiDi(TuoLuoTeLuoTieJi)",37.9,主要成份：妥洛特罗。辅料：聚异丁烯，聚丁烯，脂环类饱和烃树脂。,本品为白色方形带圆角的粘性贴片，粘性层上覆有白色衬垫。,用于缓解支气管哮喘、急性支气管炎、慢性支气管炎、肺气肿等气道阻塞性疾病所致的呼吸困难等症状。,通常，1日1次，以妥洛特罗计算成人为2mg，儿童0.5～3岁以下为0.5mg，3～9岁以下为1mg，9岁以上为2mg，粘贴于胸部、背部及上臀部均可。,对本品成分有过敏史的患者。,1、慎重用药（以下患者需慎重使用）：甲状腺机能亢进的患者(有症状恶化的危险)；高血压患者(有可能使血压升高)；有心脏疾病的患者(有可能出现心悸、心律不齐等)；糖尿病患者(有糖代谢亢进、血糖升高的危险)；特应性皮炎患者(粘贴部位易出现搔痒感、发红等症状)；老年患者(参照"老年患者用药")。2、重要注意事项：由于本品不是治疗支气管哮喘的基本病理-气道炎症的药物，因此需视患者的症状，适当并用类固醇制剂、茶碱制剂等处置；按用法和用量正确使用未见效时（标准为1～2周），认为不适用本品，请停止使用。另外，儿童使用时，需在正确的使用方法指导下，密切观察使用经过。使用注意：清洁粘贴部位皮肤，清洁后方可粘贴本品；为避免刺激皮肤，最好每次变换粘贴部位；本品可剥离，儿童使用时请贴在手够不到的部位；动物实验（大鼠）中，贴于损伤皮肤时，出现血药浓度上升，因此请勿贴于创伤面。请仔细阅读说明书并遵医嘱使用。,"儿童注意事项：
                                    
1.未满6个月的婴儿的用药安全性尚未确立(无使用经验)。2.儿童长期给药的安全性尚未确立(无使用经验)。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
1.孕妇及有妊娠可能的妇女，在判断治疗的有益性高于危险性时，方可使用。(妊娠中用药安全性尚未确定。)2.哺乳期妇女使用本品时应避免授乳。(动物实验表明(大鼠)，药物分布于乳汁。)                                    
                                    
                                    老人注意事项：
                                    
一般老年患者机体功能下降，故需从低用量开始慎重使用。",妥洛特罗贴剂,['外用'],"['片剂', '贴剂']","{""妥洛特罗"",""聚异丁烯"",""聚丁烯"",""脂环类饱和烃树脂""}","{""支气管哮喘"",""急性支气管炎"",""慢性支气管炎"",""肺气肿"",""气道阻塞性疾病"",""呼吸困难""}","{""忌用人群"":[], ""禁用人群"":[""对本品成分有过敏史的患者""], ""慎用人群"":[""甲状腺机能亢进的患者"",""高血压患者"",""有心脏疾病的患者"",""糖尿病患者"",""特应性皮炎患者"",""老年患者"",""孕妇"",""有妊娠可能的妇女"",""哺乳期妇女"",""儿童"",""未满6个月的婴儿""]}",阿米迪
1097,"通用名称：羧甲司坦片
                                
英文名称：Carbocysteine Tablets                                
汉语拼音：Suojiasitan Pian",,本品主要成分为羧甲基司坦。,本品为白色或类白色片。,用于治疗慢性支气管炎、支气管哮喘等疾病引起的痰液粘稠、咳痰困难患者。,口服。2～5岁儿童一次0.5片，6～12岁儿童一次1片，12岁以上儿童及成人一次2片，一日3次。,消化道溃疡活动期患者禁用。,"1 用药7日后，如症状未缓解，应立即就医；
2 有消化道溃疡史者慎用；
3 2岁以下儿童用量请咨询医师或药师；
4 孕妇、哺乳期妇女慎用；
5 对本品过敏者禁用，过敏体质者慎用；
6 本品性状发生改变时禁止使用；
7 请将本品放在儿童不能接触的地方；
8 儿童必须在成人监护下使用；
9 如正在使用其他药品，使用本品前请咨询医师或药师。","儿童注意事项：
                                    
2岁以下儿童安全性尚未确定。
                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
孕妇、哺乳期妇女慎用。                                    
                                    
                                    老人注意事项：
                                    
慎用。",羧甲司坦片,['口服'],['片剂'],{"羧甲基司坦"},"{""慢性支气管炎"",""支气管哮喘"",""痰液粘稠"",""咳痰困难""}","{""忌用人群"":[],""禁用人群"":[""消化道溃疡活动期患者"",""对本品过敏者""],""慎用人群"":[""有消化道溃疡史者"",""2岁以下儿童"",""孕妇"",""哺乳期妇女"",""老人"",""过敏体质者""]}",
1098,"通用名称：复方甘草口服溶液
                                
英文名称：　　Compound Glycyrrhiza Oral Solution                                
汉语拼音：Fufang Gancao Heji",7.7,本品为复方制剂，其组分为每1000ml中含甘草流浸膏120ml、复方樟脑酊180ml、甘油120ml、愈创木酚甘油醚5g、浓氨溶液适量。,本品为棕色或棕黑色液体；有香气，味甜，久置偶有沉淀。,用于上呼吸道感染、支气管炎和感冒时所产生的咳嗽及咳痰不爽。,口服，一次5-10ml，一日3次，服时振摇。,对本品过敏者禁用。,"1.本品服用一周，症状未缓解，请咨询医师。
2.慢性阻塞性肺疾病（COPD）合并呼吸功能不全者慎用。
3.胃炎及溃疡患者慎用。
4.如服用过量或发生严重不良反应时应立即就医。","儿童注意事项：
                                    
1.儿童用量请咨询医师或药师。
2.儿童必须在成人监护下使用。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
孕妇及哺乳期妇女禁用。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",复方甘草口服溶液,['口服'],"['液体剂型', '气雾剂']","{""甘草流浸膏"",""复方樟脑酊"",""甘油"",""愈创木酚甘油醚"",""浓氨溶液""}","{""上呼吸道感染"",""支气管炎"",""感冒"",""咳嗽"",""咳痰不爽""}","{""忌用人群"":[""孕妇"",""哺乳期妇女""], ""禁用人群"":[""对本品过敏者"",""孕妇"",""哺乳期妇女""], ""慎用人群"":[""慢性阻塞性肺疾病（COPD）合并呼吸功能不全者"",""胃炎患者"",""溃疡患者""]}",
1099,"通用名称：复方愈创木酚磺酸钾口服溶液
                                
英文名称：Compound Guaiacol Potassium Sulfonale Oral Solution                                
汉语拼音：Fufang Yuchuangmufenhuangsuanjia Koufu Rongye",6.8,本品为复方制剂，每10毫升含盐酸异丙嗪10毫克，愈创木酚磺酸钾250毫克，氯化铵100毫克。,本品为淡棕色澄清液体；气芳香，味甜；久置可出现振摇易散的沉淀。,用于感冒及过敏性支气管炎引起的咳嗽、多痰。,口服。成人，一次5～10毫升，一日3～4次。,"对本品中任一成份过敏者禁用。严重肝,肾功能不全者禁用。新生儿,婴儿禁用。","应用本品3～7天,症状不缓解，请咨询医师或药师。驾驶机，车，船，从事高空作业，机械作业者工作时间禁用。哺乳期妇女，孕妇和老年人慎用。儿童必须在成人监护下使用。当本品性状发生改变时禁用。请将此药品放在儿童不能接触的地方。如正在使用其他药品，使用本品前请咨询医师或药师。","儿童注意事项：
                                    
　　新生儿,婴儿禁用。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
1.服用本品后可能诱发婴儿的黄疸和锥体外系症状。因此，孕妇在临产前1～2周应停用本品。2.抗组胺药对婴儿特别是新生儿和早产儿有较大的危险性，哺乳期妇女应用本品时需权衡利弊。                                    
                                    
                                    老人注意事项：
                                    
老年人用盐酸异丙嗪易发生头晕、滞呆、精神错乱、中低血压，还易发生锥体外系症状，特别是帕金森病，不能静坐和持续性的运动障碍。",复方愈创木酚磺酸钾口服溶液,['口服'],"['中药剂型', '液体剂型', '气雾剂']","{""盐酸异丙嗪"",""愈创木酚磺酸钾"",""氯化铵""}","{""感冒"",""过敏性支气管炎"",""咳嗽"",""多痰""}","{""忌用人群"":[],""禁用人群"":[""对本品中任一成份过敏者"",""严重肝,肾功能不全者"",""新生儿"",""婴儿"",""驾驶机，车，船，从事高空作业，机械作业者工作时间"",""当本品性状发生改变时""],""慎用人群"":[""哺乳期妇女"",""孕妇"",""老年人""]}",
1100,"通用名称：咳露口服液
                                
英文名称：KeLuKouFuYe                                
汉语拼音：Ke lu Koufuye",28.1,川贝母、枇杷叶、麻黄、紫菀、黄芩、罂粟壳、薄荷脑、甘草。,本品为白色片或白色囊形薄膜衣片。,清热，宣肺，平喘，化痰止咳。用于风热犯肺、内郁化火所致的咳嗽痰多或吐痰不爽，咽喉肿痛，胸满气短，感冒咳嗽及急、慢性支气管炎见上述证候者。,口服。一次10～20毫升，一日3次，小儿酌减。,孕妇忌服。高血压、心脏病患者忌服。,"1忌烟、酒及辛辣、生冷、油腻食物。
2不宜在服药期间同时服用滋补性中药。
3有支气管扩张、肺脓疡、肺心病、肺结核患者出现咳嗽时应去医院就诊。
4高血压、心脏病患者慎服。5.严格按用法用量服用，年老体弱者应在医师指导下服用。
6本品不宜长期服用，服药3天症状无缓解，应去医院就诊。
7对本品过敏者禁用，过敏体质者慎用。
8本品性状发生改变时禁止使用。
9请将本品放在儿童不能接触的地方。
10如正在使用其他药品，使用本品前请咨询医师或药师。",,咳露口服液,['口服'],"['片剂', '膜剂', '液体剂型']","{""川贝母"",""枇杷叶"",""麻黄"",""紫菀"",""黄芩"",""罂粟壳"",""薄荷脑"",""甘草""}","{""清热"",""宣肺"",""平喘"",""化痰止咳"",""咳嗽痰多"",""吐痰不爽"",""咽喉肿痛"",""胸满气短"",""感冒咳嗽"",""急、慢性支气管炎""}","{""忌用人群"":[], ""禁用人群"":[""孕妇"",""高血压患者"",""心脏病患者"",""对本品过敏者""], ""慎用人群"":[""高血压患者"",""心脏病患者"",""过敏体质者"",""年老体弱者""]}",
1101,"通用名称：利肺片
                                
商品名称：藏莲                                
英文名称：LiFeiPian(CangLian)                                
汉语拼音：Lifei Pian",10.8,百部、白及、枇杷叶、百合、冬虫夏草、蛤蚧粉、五味子、牡蛎、甘草。,本品为糖衣片，除去糖衣后显棕褐色；味微苦、涩。,驱痨补肺，镇咳化痰。用于肺痨咳嗽，咯痰，咯血，气虚哮喘，慢性气管炎等。,口服。一次2片，一日3次。,对本药品任何成分过敏者禁用。,如有胃肠不适，可饭后服用；儿童用药应遵医嘱。,,利肺片,['口服'],"['中药剂型', '片剂']","{""百部"",""白及"",""枇杷叶"",""百合"",""冬虫夏草"",""蛤蚧粉"",""五味子"",""牡蛎"",""甘草""}","{""驱痨补肺"",""镇咳化痰"",""肺痨咳嗽"",""咯痰"",""咯血"",""气虚哮喘"",""慢性气管炎""}","{""忌用人群"":[], ""禁用人群"":[""对本药品任何成分过敏者""], ""慎用人群"":[]}",藏莲
1102,"通用名称：至灵胶囊
                                
英文名称：ZhiLingJiaoNang                                
汉语拼音：Zhiling Jiaonang",14.8,冬虫夏草。,本品为胶囊剂，内容物为棕褐色的颗粒;嗅特异，味微咸。,补肺益肾。用于肺肾两虚所致咳喘、浮肿等症，亦可用于各类肾病、慢性支气管哮喘、慢性肝炎及肿瘤的辅助治疗。,口服。一次2-3粒，一日2-3次，或遵医嘱。,尚不明确。,尚不明确。,,至灵胶囊,['口服'],"['颗粒剂', '胶囊剂', '软膏剂']",{"冬虫夏草"},"{""补肺益肾"",""咳喘"",""浮肿"",""各类肾病"",""慢性支气管哮喘"",""慢性肝炎"",""肿瘤的辅助治疗""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",
1103,"通用名称：愈美胶囊
                                
商品名称：利凡优                                
英文名称：Dextran40 and Glucose Injection                                
汉语拼音：YumeiJiaonang",3.6,本品为复方制剂，每粒含氢溴酸右美沙芬10毫克、愈创木酚甘油醚100毫克。,本品为胶囊，内容物为白色或类白色颗粒。,用于上呼吸道感染（如普通感冒和流行性感冒）、支气管炎等引起的咳嗽、咳痰。,口服。6-12岁儿童，一次1粒；12岁以上儿童及成人一次1～2粒；一日3次。24小时不超过4次。,对氢溴酸右美沙芬或愈创木酚甘油醚过敏者禁用。妊娠3个月内妇女及有精神病史者禁用。,"1.用药7天，症状未缓解，请咨询医师或药师。
2.抑郁症、消化道溃疡、痰量过多、哮喘等患者以及老年人应在医师指导下使用。
3.孕妇及哺乳期妇女慎用。
4.如服用过量或出现严重不良反应，应立即就医。
5.服药期间不得驾驶机、车、船、从事高空作业、机械作业及操作精密仪器。
6.对本品过敏者禁用，过敏体质者慎用。
7.本品性状发生改变时禁止使用。
8.请将本品放在儿童不能接触的地方。
9.儿童必须在成人监护下使用。
10.如正在使用其他药品，使用本品前请咨询医师或药师。","儿童注意事项：
                                    
2岁以下儿童慎用或遵医嘱。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
　　妊娠3个月内妇女禁用。                                    
                                    
                                    老人注意事项：
                                    
老年患者慎用或遵医嘱。",愈美胶囊,['口服'],"['颗粒剂', '胶囊剂', '软膏剂']","{""氢溴酸右美沙芬"",""愈创木酚甘油醚""}","{""上呼吸道感染"",""普通感冒"",""流行性感冒"",""支气管炎"",""咳嗽"",""咳痰""}","{""忌用人群"":[], ""禁用人群"":[""对氢溴酸右美沙芬或愈创木酚甘油醚过敏者"",""妊娠3个月内妇女"",""有精神病史者""], ""慎用人群"":[""抑郁症患者"",""消化道溃疡患者"",""痰量过多者"",""哮喘患者"",""老年人"",""孕妇"",""哺乳期妇女"",""过敏体质者"",""2岁以下儿童"",""老年患者""]}",利凡优
1104,"通用名称：复方岩白菜素片
                                
英文名称：Bergenini Compositae Tabellae                                
汉语拼音：Fufang Yanbaicaisu Pian",5.1,本品为复方制剂，组分为每片含岩白菜素125mg，马来酸氯苯那敏2mg。,本品为白色片。,镇咳祛痰。用于慢性支气管炎。,口服，一次1片，一日3次。,有轻度嗜睡、口干、疲倦等。【孕妇及哺乳期妇女用药】： 尚不明确 【药物过量】： 尚不明确,服药期间勿驾车及操纵起重机器。,"儿童注意事项：
                                    
尚不明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
尚不明确                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",复方岩白菜素片,['口服'],['片剂'],"{""岩白菜素"",""马来酸氯苯那敏""}","{""镇咳祛痰"",""慢性支气管炎""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",
1105,"通用名称：川贝雪梨糖浆
                                
商品名称：本草纲目                                
英文名称：ChuanBeiXueLiTangJiang(BenCaoGangMu)                                
汉语拼音：Chuanbei Xueli Tangjiang",23.2,梨清膏川贝母麦冬百合款冬花苯甲酸钠蔗糖。,本品为棕黄色稠厚的半流体；味甜。,养阴润肺。用于肺热咳嗽，阴虚久咳。,口服。一次20～30毫升，一日3次。,糖尿病患者禁服。,"1忌烟、酒及辛辣、生冷、油腻食物。
2不宜在服药期间同时服用滋补性中药。
3有支气管扩张、肺脓疡、肺心病、肺结核患者出现咳嗽时应去医院就诊。
4儿童、年老体弱者、孕妇应在医师指导下服用。
5服药3天症状无缓解，应去医院就诊。
6对本品过敏者禁用，过敏体质者慎用。
7本品性状发生改变时禁止使用。
8儿童必须在成人监护下使用。
9请将本品放在儿童不能接触的地方。
10如正在使用其他药品，使用本品前请咨询医师或药师。",,川贝雪梨糖浆,['口服'],"['中药剂型', '液体剂型']","{""梨清膏"",""川贝母"",""麦冬"",""百合"",""款冬花"",""苯甲酸钠"",""蔗糖""}","{""养阴润肺"",""肺热咳嗽"",""阴虚久咳""}","{""忌用人群"":[], ""禁用人群"":[""糖尿病患者"",""对本品过敏者""], ""慎用人群"":[""过敏体质者"",""儿童"",""年老体弱者"",""孕妇""]}",本草纲目
1106,"通用名称：苏子降气丸
                                
商品名称：紫鑫                                
英文名称：SuZiJiangQiWan(ZiXin)                                
汉语拼音：SuziJiangqi Wan",32.8,紫苏子(炒)、厚朴、前胡、甘草、姜半夏、陈皮、沉香、当归。,本品为淡黄色或浅褐色的水丸；气微香，味甜。,降气化痰。用于痰多色白、咳嗽喘促，气短胸闷，动则加剧。,口服。一次6克，一日1-2次。,忌烟、酒及辛辣食物。阴虚燥咳者忌服，其表现为干咳少痰、咽干咽痛、口干舌燥。阴虚，舌红无苔者忌服。,"1忌烟、酒及辛辣食物。
2阴虚燥咳者忌服，其表现为干咳少痰、咽干咽痛、口干舌燥。
3有支气管扩张、肺脓疡、肺结核、肺心病的患者及孕妇，应在医师指导下服用。
4服用三天，症状无改善，应去医院就诊。
5按照用法用量服用，小儿、年老体虚者应在医师指导下服用。
6长期服用，应向医师咨询。
7对本品过敏者禁用，过敏体质者慎用。
8本品性状发生改变时禁止使用。
9儿童必须在成人监护下使用。
10请将本品放在儿童不能接触的地方。
11如正在使用其他药品，使用本品前请咨询医师或药师。",,苏子降气丸,['口服'],"['中药剂型', '液体剂型', '气雾剂']","{""紫苏子(炒)"", ""厚朴"", ""前胡"", ""甘草"", ""姜半夏"", ""陈皮"", ""沉香"", ""当归""}","{""降气化痰"",""痰多色白"",""咳嗽喘促"",""气短胸闷"",""动则加剧""}","{""忌用人群"":[""阴虚燥咳者"",""阴虚，舌红无苔者""], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""过敏体质者"",""支气管扩张患者"",""肺脓疡患者"",""肺结核患者"",""肺心病患者"",""孕妇"",""小儿"",""年老体虚者""]}",紫鑫
